srednia,mediana,maksimum,ostatni
0.08558756991502581,0.08324332854288996,0.01778031356862697,0.08367122902822965
0.00402528392962509,0.0024146370861869437,0.026145686988670813,0.0037023094206972695
0.09534408635499791,0.09609458488490896,0.12443177743537781,0.09313650351841685
0.0009514128417792422,0.0044512099160020635,0.03241678055503927,0.008726905966408738
0.06393128189393882,0.08446873397131488,0.010554024624423841,0.07536444900791206
0.036971801075580735,0.036812116442104914,0.04633152314393252,0.04632846483072384
0.05690426622724554,0.047665511315643894,0.1006046372520244,0.06535647023150826
0.065373551024558,0.05513222131356055,0.10661257620494191,0.07379931010997809
0.07856536359628985,0.08065776580881495,0.04584663631796493,0.0708151197272347
0.0945886190250198,0.10155169763516492,0.027567190221200688,0.06059151394156875
0.03521621758816973,0.03507807187252898,0.0741373242013057,0.025965963891097954
0.10480863560217646,0.10362145545834034,0.03959866644590837,0.09983719432091492
0.0026241496223539107,0.00759962951174209,0.05227823928118924,0.029038310563760272
0.1203224776316199,0.12461610748158963,0.053168050289351176,0.09188493824250765
0.04401654590957321,0.06255407887629716,0.001022139811766798,0.06691240768022871
0.04023068632069671,0.04023068632069671,0.04023068632069671,0.04023068632069671
0.08568112762788277,0.09137442918357086,0.05346610274414221,0.08673464723303209
0.02686715425259867,0.037454376641318676,0.06084805451026387,0.034857234769068546
0.009001278519518818,0.00021751411922377173,0.06222858808843934,0.014075900512441897
0.07509799632847858,0.07306870950842076,0.00684571096332931,0.07119560590334728
0.015748626126160237,0.014680883495015784,0.02322857070292539,0.008272372587313725
0.016575701883741467,0.013015997881105745,0.024085930309448278,0.008056066202032475
0.07345766017805966,0.07465595360446986,0.014517274627215526,0.08050487493418956
0.003937778345758147,0.0023730444057451505,0.06630496613896542,0.006521418361088105
0.12051882552675586,0.12343636661969137,0.15021307624062386,0.11141234847717052
0.04560697159451038,0.043843934835691434,0.018643053389067687,0.06523458062332055
0.02733373191880495,0.038462032306376015,0.046707621969773516,0.030108889297818298
0.03706875575332791,0.03830540173649055,0.06775065184059492,0.028823176468532163
0.032247570631079636,0.029032256504291865,0.06626398475325679,0.028511067020365655
0.1346624724271409,0.1349839895088969,0.05934901391337133,0.09315664170488686
0.026068960183381118,0.031486833096762645,0.022690150628916106,0.05712367870907126
0.002418012370137279,0.0007402773019943298,0.05623642471883117,0.012021225219847054
0.11880978306552215,0.11788526275707245,0.13220081642758874,0.1110107897632725
0.017623354372287903,0.012605712480312947,0.07333770199745915,0.03520777193307956
0.07869581398725323,0.08050176165761885,0.04582552280409352,0.07159153061843476
