regula,mediana_abs_rho_nrek,maks_abs_rho_nrek,cech_rho_pow_02
srednia,0.12524717917690664,0.28397867775427565,6
mediana,0.07895062822509055,0.2568485220312072,2
maksimum,0.19028646153269152,0.37885446280081997,17
ostatni,0.08257667662619715,0.295678489824959,1
