method,RMSE,MAE,KL_mean,negatives,time_s
MICE,0.0977578188798789,0.04317671834719204,0.011632627942035883,0,1825.3
MissForest,0.101703372842543,0.05403399108272308,0.012879712180868613,0,1034.0
KNN,0.1290692416835385,0.07520240086085145,0.015612759080238044,0,5.1
