method,RMSE,MAE,KL_mean,negatives,time_s
MICE,0.09594880867676045,0.0417949721463836,0.010545725984486741,0,1605.9
MissForest,0.10184657399800838,0.054323259098513293,0.012168785624096583,0,368.6
KNN,0.12848986956428773,0.07442248925449066,0.014887410401515722,0,3.3
