method,RMSE,MAE,KL_mean,negatives,time_s
MICE,0.09873356864148668,0.04330357449895013,0.010816238561234866,0,1149.3
MissForest,0.10334979173814045,0.05447605556030122,0.01225326319581777,0,729.9
KNN,0.1290692416835385,0.07520240086085145,0.015612759080238044,0,3.4
