method,RMSE,MAE,KL_mean,negatives,time_s
MissForest,0.07787111384273265,0.030321749270480244,0.0035237925588830175,0,1883.8
MICE,0.0797763335811264,0.026778606229541806,0.0033781572299663174,0,8087.1
KNN,0.1021938601963987,0.04951919684445819,0.004925745834467518,0,1454.5
