method,RMSE,MAE,KL_mean,negatives,time_s
MissForest,0.0782846307584812,0.030836857989991903,0.0035653412398437855,0,6457.5
MICE,0.08650879427472535,0.03151833022452557,0.0036088646547541166,0,4210.1
KNN,0.10223162328792748,0.04944166172707151,0.0049041797717069985,0,1377.9
