method,RMSE,MAE,KL_mean,negatives,time_s
MissForest,0.07867574499200632,0.03089170477220504,0.003527455179688298,0,26620.0
MICE,0.0867520599242642,0.03147649618122825,0.0036406233367255575,0,4271.6
KNN,0.1027262979205441,0.04961068390988395,0.0048841446018981416,0,1315.3
