method,RMSE,MAE,KL_mean,negatives,time_s
MissForest,0.07851019775905886,0.030887132645477742,0.0035591647551590404,0,2623.5
MICE,0.08640687939800397,0.031544179522010746,0.0036687349144029395,0,3447.8
KNN,0.10223162328792748,0.04944166172707151,0.0049041797717069985,0,1399.7
