dataset,estimator_type,max_iter,n_estimators,max_depth,val_rmse,final_rmse,final_mae,final_kl,n_trials,optuna_time_s
kor,ExtraTrees,7,78,10,0.0857639164147202,0.0860909972652198,0.03145742516442502,0.0036779811811067705,40,25483.52175760269
neuro,ExtraTrees,28,110,10,0.09464658050216636,0.09835639309783652,0.04318022230397678,0.011584157001657125,40,13136.618789196014
