method,RMSE,MAE,KL_mean,negatives,time_s
MICE,0.0948082179844831,0.042330799109529714,0.011958394603621542,0,2056.6
MissForest,0.0966649000664637,0.05247598143094894,0.012433876364650561,0,1520.6
KNN,0.12055591395809483,0.07234389663129857,0.013947610399995097,0,4.0
